2026-07-17T15:46:44.366Z,160ae51c-352e-49a8-b325-b08a7d55a9ae,,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T15:46:44.368Z,0914e2fd-ee18-4729-834a-a48ea5952fce,,,sessionEnd,,,,,,,
2026-07-17T15:46:46.641Z,0914e2fd-ee18-4729-834a-a48ea5952fce,,,elementTap,Zephyr,button,,,,,
2026-07-17T15:46:46.642Z,0914e2fd-ee18-4729-834a-a48ea5952fce,,,actionRun,Zephyr,,,goToScene,,,
2026-07-17T15:46:46.642Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,,sceneEnter,,,,,,,
2026-07-17T15:46:54.797Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,,elementTap,CMSIS,button,,,,,
2026-07-17T15:46:54.797Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,,actionRun,CMSIS,,,setState,,,
2026-07-17T15:46:54.798Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,,stateExit,,,8156,,,,
2026-07-17T15:47:01.685Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrPercepio,elementTap,CMSIS,button,,,,,
2026-07-17T15:47:01.685Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrPercepio,actionRun,CMSIS,,,setState,,,
2026-07-17T15:47:01.685Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrPercepio,stateExit,,,6887,,,,
2026-07-17T15:47:08.149Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrMicrochip,elementTap,CMSIS,button,,,,,
2026-07-17T15:47:08.149Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrMicrochip,actionRun,CMSIS,,,setState,,,
2026-07-17T15:47:08.149Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrMicrochip,stateExit,,,6464,,,,
2026-07-17T15:47:52.646Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrBoard,elementTap,CMSIS,button,,,,,
2026-07-17T15:47:52.646Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrBoard,actionRun,CMSIS,,,setState,,,
2026-07-17T15:47:52.646Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrBoard,stateExit,,,44497,,,,
2026-07-17T15:47:55.612Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrMicrochip,elementTap,CMSIS,button,,,,,
2026-07-17T15:47:55.612Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrMicrochip,actionRun,CMSIS,,,setState,,,
2026-07-17T15:47:55.612Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrMicrochip,stateExit,,,2966,,,,
2026-07-17T15:47:58.805Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrPercepio,elementTap,Zephyr,button,,,,,
2026-07-17T15:47:58.805Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrPercepio,actionRun,Zephyr,,,goToScene,,,
2026-07-17T15:47:58.805Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Zephyr,ZephyrPercepio,sceneExit,,,72163,,,,
2026-07-17T15:47:58.805Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Home,,sceneEnter,,,,,,,
2026-07-17T15:48:32.407Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Home,,elementTap,CMSIS,button,,,,,
2026-07-17T15:48:32.407Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Home,,actionRun,CMSIS,,,goToScene,,,
2026-07-17T15:48:32.407Z,0914e2fd-ee18-4729-834a-a48ea5952fce,Home,,sceneExit,,,33602,,,,
2026-07-17T15:48:32.407Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,,sceneEnter,,,,,,,
2026-07-17T15:48:34.040Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,,elementTap,CMSIS,button,,,,,
2026-07-17T15:48:34.040Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,,actionRun,CMSIS,,,setState,,,
2026-07-17T15:48:34.040Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,,stateExit,,,1633,,,,
2026-07-17T15:49:57.586Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,VSstate,elementTap,CMSIS,button,,,,,
2026-07-17T15:49:57.586Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,VSstate,actionRun,CMSIS,,,setState,,,
2026-07-17T15:49:57.586Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,VSstate,stateExit,,,83546,,,,
2026-07-17T15:50:09.768Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,NanoState,elementTap,CMSIS,button,,,,,
2026-07-17T15:50:09.768Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,NanoState,actionRun,CMSIS,,,setState,,,
2026-07-17T15:50:09.768Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,NanoState,stateExit,,,12182,,,,
2026-07-17T15:51:43.266Z,0914e2fd-ee18-4729-834a-a48ea5952fce,CMSIS,DAstate,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T15:51:43.268Z,511e6ffe-4adf-432d-80f7-7b4069a921f8,CMSIS,DAstate,sessionEnd,,,,,,,
2026-07-17T15:51:56.761Z,511e6ffe-4adf-432d-80f7-7b4069a921f8,CMSIS,DAstate,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
